Sample,Screen,pulp_wt _g,Au_ppm,Ba_ppm,Ce_ppm,Cr_ppm,Cs_ppm,Dy_ppm,Er_ppm,Eu_ppm,Ga_ppm,Gd_ppm,Hf_ppm,Ho_ppm,La_ppm,Lu_ppm,Nb_ppm,Nd_ppm,Pr_ppm,Rb_ppm,Sc_ppm,Sm_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Th_ppm,Ti_percentage,Tm_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zr_ppm,Ag_ppm,Al_percentage,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_percentage,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_percentage,Ga_ppm,Ge_ppm,Hf_ppm,In_ppm,K_percentage,La_ppm,Li_ppm,Mg_percentage,Mn_ppm,Mo_ppm,Na_percentage,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,Re_ppm,S_percentage,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_percentage,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm,Al2O3_percentage,BaO_percentage,CaO_percentage,Cr2O3_percentage,Fe2O3_percentage,K2O_percentage,MgO_percentage,MnO_percentage,Na2O_percentage,P2O5_percentage,SO3_percentage,SiO2_percentage,SrO_percentage,TiO2_percentage,Total_percentage,LOI_percentage,Th_ppm,Zr_ppm
Sample 2,300x212um,102,0.01,243,791,41,1.04,17.1,6.27,1.16,5.7,37.5,3.81,2.62,371,0.64,24.2,338,89.7,33.5,9.8,57.2,752,56.1,2,4.12,158,1.12,0.76,9.39,44,2.2,68.8,4.41,144,0.02,2.25,2.8,220,0.74,0.1,0.35,0.04,790,3.9,20,0.96,5.6,2.23,4.29,0.9,0.6,0.013,0.74,342,4.7,0.15,901,0.24,0.4,22.6,4,460,20.4,33.1,0.002,0.01,0.33,8.2,1,0.9,51.5,1.52,0.05,146.5,1.06,0.16,6.5,31,0.9,58.4,29,20.8,4.89,0.02,0.5,0.01,3.27,0.9,0.31,0.12,0.59,0.12,0.01,86.2,0.01,1.75,99.01,0.27,,
Sample 2,212x106um,109,1.32,281,2900,53,1.72,67.3,25,5.26,6.7,133,37.9,9.98,1405,2.74,42.6,1240,333,46.3,9.6,204,15,64.5,2.9,14.6,560,2.03,3.09,32.8,65,2.2,287,18.95,1460,0.03,2.82,5.5,270,1.1,0.18,0.42,0.08,2670,6.3,29,1.62,16.4,2.95,5.89,2.77,1.6,0.024,0.91,1090,6.8,0.21,1185,0.32,0.5,34.1,6.4,1400,49.8,46.1,0.005,0.01,0.37,9.4,1,1.4,62.5,2.29,0.05,530,1.66,0.23,28.6,46,1.9,148.5,58,56,5.87,0.03,0.57,0.01,4.37,1.07,0.4,0.15,0.67,0.33,0.01,81.32,0.01,3.19,98.89,0.67,,
Sample 2,106x75um,38,1.25,360,1670,52,2.55,45.1,19.2,3.9,8.7,81.3,138,7.29,796,2.49,30.4,713,190,62.9,10.5,120.5,20.1,74.3,2.2,9.49,295,1.2,2.53,26.4,58,4.1,218,16.2,5380,0.13,3.61,7.4,360,1.36,0.24,0.47,0.16,1725,6.6,33,2.64,62.4,2.22,8.38,1.38,6.2,0.031,1.21,710,10.4,0.24,590,0.63,0.71,21.3,11.5,960,48.8,62.3,0.003,0.02,0.57,6.4,1,3.7,75.4,1.67,0.05,301,0.975,0.35,21.6,43,3.1,99.3,112,215,7.29,0.04,0.64,0.01,3.14,1.44,0.45,0.07,0.94,0.23,0.05,80.69,0.01,1.89,99.15,1.57,,
Sample 2,75x53um,49,0.82,383,874,66,2.89,30.3,15.45,2.81,9.5,44.7,106,5.45,404,2.32,21.4,369,98.7,67.7,5.3,61.8,7.6,78,1.7,5.48,153,0.82,2.2,16.5,52,3.8,158.5,14.8,4010,0.16,3.95,10.6,380,1.6,0.31,0.51,0.35,956,8.8,42,3.03,153,2.02,9.03,0.8,5.7,0.041,1.29,395,11.6,0.27,444,1.19,0.8,17.7,18,600,61.6,71.6,0.003,0.06,0.78,6.2,1,4.4,80.6,1.35,0.05,153,0.688,0.52,12.4,42,3.3,63.6,210,204,7.7,0.04,0.68,0.01,2.81,1.53,0.49,0.05,1.07,0.14,0.14,81.12,0.01,1.3,99.33,1.72,,
Sample 2,53x38um,29,0.1,361,418,71,3.13,17.6,9.65,2.1,9.2,22.7,55.4,3.25,198.5,1.47,17.35,182,48.2,65,8.1,31.5,7.7,80.8,1.6,3.06,71.4,0.62,1.36,9.52,52,3.5,98,8.9,2160,0.25,4,8.9,350,1.5,0.39,0.48,0.32,412,6.9,48,3.13,180,1.86,8.8,0.38,5.2,0.039,1.21,191.5,12.3,0.25,330,1.2,0.85,13.7,18.4,330,60.2,68.1,0.002,0.05,0.76,5.9,1,6.4,76.2,1.17,0.05,64.5,0.5,0.46,6.1,40,4.1,32.2,198,182.5,7.75,0.04,0.65,0.01,2.63,1.45,0.45,0.04,1.15,0.08,0.12,81.76,0.01,0.94,99.2,1.82,,
Sample 2,-38um,102,0.01,762,136,98,13.6,7.58,4.4,1.85,27,8.6,8.2,1.4,66.7,0.67,17.4,62,15.95,213,19.3,11.3,7.8,85.7,1.2,1.26,25.1,0.49,0.61,4.81,133,5,42.6,4.23,299,0.26,10.15,26.9,750,3.68,1.04,0.45,0.67,137,19.1,80,14.1,294,4.52,25.5,0.23,3.1,0.1,2.84,67.2,53.9,0.7,581,1.24,0.49,16.1,36.5,400,129,216,0.002,0.05,1.88,18.2,1,6.4,81.3,1.28,0.07,24.4,0.419,1.36,4.4,110,4.7,26.9,386,110.5,19.95,0.08,0.63,0.01,6.58,3.47,1.29,0.07,0.65,0.09,0.14,58.03,0.01,0.77,99.37,7.44,,
Sample 3,+6.7mm,114,0.01,189.5,21.8,20,0.59,1.04,0.59,0.27,3.4,1.41,1.98,0.21,10.6,0.11,1.63,9.8,2.61,19.5,1.9,1.66,1.4,44.3,0.2,0.16,3.76,0.06,0.11,0.65,22,0.5,5.8,0.57,73,0.05,1.54,7.7,180,0.48,0.12,0.23,0.02,22.3,2.7,15,0.48,8.8,1.41,3.25,0.1,0.5,0.009,0.46,10.9,4.9,0.07,114,0.53,0.3,1.5,5.5,100,10.6,18,0.002,0.01,0.42,1.6,1,0.4,42.1,0.11,0.05,3.69,0.052,0.09,0.5,16,0.5,2.9,15,18.1,2.97,0.02,0.33,0.01,2.06,0.57,0.14,0.01,0.41,0.02,0.01,92.62,0.01,0.09,99.84,0.58,,
Sample 3,6.7x4.75mm,102,0.01,329,16.4,14,0.6,1.06,0.73,0.36,3.8,1.21,1.67,0.22,8.5,0.11,0.91,7.3,1.96,31.5,1.3,1.43,1,74.9,0.1,0.18,2.77,0.03,0.1,0.65,20,0.6,6.9,0.75,59,0.02,2.04,3.9,300,0.74,0.19,0.33,0.02,10.8,1.7,11,0.44,4,1.1,3.2,0.09,0.6,0.006,0.87,5,4,0.03,71,0.34,0.49,0.8,3,100,11.6,25.3,0.002,0.01,0.23,0.9,1,0.2,58.9,0.06,0.05,2.08,0.029,0.13,0.5,16,0.7,2.1,9,19.8,3.93,0.03,0.45,0.01,1.59,1.08,0.07,0.01,0.68,0.02,0.01,91.45,0.01,0.05,99.84,0.46,,
Sample 3,4.5x3.35mm,113,0.01,354,18.1,16,0.61,1.35,0.78,0.44,4.2,1.29,1.94,0.25,8.4,0.1,1.08,7.6,2.04,37.1,1.9,1.36,0.8,88.3,0.1,0.21,3.44,0.04,0.11,0.79,21,0.5,7.5,0.71,68,0.02,2.46,6,360,0.86,0.1,0.38,0.02,29.5,2.2,13,0.62,5.3,1.18,4.39,0.06,1.1,0.007,1.06,13.4,5.6,0.04,70,0.44,0.63,0.9,4.8,110,18.7,37.6,0.002,0.01,0.25,1.2,1,0.3,85.4,0.08,0.05,5.85,0.029,0.19,1.1,17,0.3,3.6,10,31.1,4.34,0.04,0.49,0.01,1.55,1.18,0.08,0.01,0.79,0.02,0.01,91.13,0.01,0.05,100.15,0.47,,
Sample 3,3.35x2.36mm,105,0.01,335,18.3,14,0.58,1.4,0.84,0.42,3.9,1.43,2.39,0.28,9.2,0.13,0.66,8.4,2.26,33.7,1.9,1.65,0.6,76,0.1,0.2,3.72,0.02,0.13,0.8,19,0.5,8.4,0.9,81,0.02,2.18,4.9,330,0.79,0.11,0.31,0.02,17.4,1.9,12,0.55,5.7,1.08,3.8,0.05,0.8,0.006,1.01,8.6,5.4,0.03,54,0.39,0.54,1,4,90,18.8,34.9,0.002,0.01,0.21,1,1,0.3,74,0.07,0.05,3.78,0.029,0.21,0.7,15,0.5,2.9,9,23.8,3.98,0.03,0.41,0.01,1.46,1.15,0.06,0.01,0.72,0.02,0.01,91.29,0.01,0.04,99.58,0.39,,
